Title	mainLabel	metascore
The Souvenir	DRAMA	91
The Favourite	COMEDY	91
A Bread Factory Part One	COMEDY	91
A Bread Factory Part Two	COMEDY	91
They Shall Not Grow Old	WAR	91
Over the Limit	SPORT	91
Ex Libris: New York Public Library	DOCUMENTARY	91
Taxi	COMEDY	91
Son of Saul	DRAMA	91
Ida	DRAMA	91
Stories We Tell	DOCUMENTARY	91
The Act of Killing	CRIME	91
The Gatekeepers	WAR	91
Nostalgia for the Light	DOCUMENTARY	91
Waltz with Bashir	ANIMATION	91
No Country for Old Men	DRAMA	91
Saving Private Ryan	DRAMA	91
After Life	DRAMA	91
The Sweet Hereafter	DRAMA	91
Secrets & Lies	COMEDY	91
The Right Stuff	DRAMA	91
E.T. the Extra-Terrestrial	FAMILY	91
System Crasher	DRAMA	90
The Tale	DRAMA	90
Burning	DRAMA	90
Cold War	DRAMA	90
Minding the Gap	DOCUMENTARY	90
Phantom Thread	DRAMA	90
Paterson	COMEDY	90
I Called Him Morgan	DRAMA	90
The Fits	DRAMA	90
Mad Max: Fury Road	ADVENTURE	90
Paths of the Soul	DRAMA	90
Gett	DRAMA	90
Hard to Be a God	DRAMA	90
American Hustle	DRAMA	90
Big Men	DOCUMENTARY	90
Her	DRAMA	90
It's Such a Beautiful Day	COMEDY	90
This Is Not a Film	DOCUMENTARY	90
The Girls in the Band	BIOGRAPHY	90
Winter's Bone	DRAMA	90
My Perestroika	FAMILY	90
A Prophet	DRAMA	90
Persepolis	DRAMA	90
Almost Famous	COMEDY	90
My Voyage to Italy	DOCUMENTARY	90
Topsy-Turvy	COMEDY	90
Being John Malkovich	COMEDY	90
The Truman Show	COMEDY	90
L.A. Confidential	DRAMA	90
Cold Water	DRAMA	90
The Age of Innocence	DRAMA	90
The Crying Game	DRAMA	90
Goodfellas	DRAMA	90
Hannah and Her Sisters	COMEDY	90
After Hours	COMEDY	90
The River and the Wall	ADVENTURE	89
The Farewell	COMEDY	89
63 Up	DOCUMENTARY	89
For Sama	WAR	89
Eighth Grade	COMEDY	89
Dead Souls	HISTORY	89
Columbus	DRAMA	89
Zama	DRAMA	89
Elle	DRAMA	89
Uncertain	COMEDY	89
Western	WESTERN	89
The Winding Stream	FAMILY	89
Phoenix	DRAMA	89
The Overnighters	DRAMA	89
Two Days One Night	DRAMA	89
National Gallery	DOCUMENTARY	89
The Tale of The Princess Kaguya	DRAMA	89
The Artist	COMEDY	89
Man on Wire	BIOGRAPHY	89
Goodbye Solo	DRAMA	89
Still Walking	DRAMA	89
No End in Sight	WAR	89
Kasaba	DRAMA	89
The Madness of King George	COMEDY	89
The Piano	DRAMA	89
Searching for Bobby Fischer	DRAMA	89
Howards End	DRAMA	89
The Seventh Continent	DRAMA	89
Stop Making Sense	MUSIC	89
Apollo 11	HISTORY	88
So Long My Son	DRAMA	88
Shirkers	DOCUMENTARY	88
Leave No Trace	DRAMA	88
Long Day's Journey Into Night	DRAMA	88
Black Panther	ADVENTURE	88
A Star Is Born	DRAMA	88
Foxtrot	DRAMA	88
The Death of Stalin	COMEDY	88
Quest	MUSIC	88
Paddington 2	COMEDY	88
Three Billboards Outside Ebbing Missouri	COMEDY	88
Aquarius	DRAMA	88
Hell or High Water	DRAMA	88
Things to Come	DRAMA	88
Brooklyn	DRAMA	88
Anomalisa	COMEDY	88
Everything Is Copy	BIOGRAPHY	88
In Transit	NEWS	88
Whiplash	DRAMA	88
Democrats	DOCUMENTARY	88
From What Is Before	DRAMA	88
Winter Sleep	DRAMA	88
The Grand Budapest Hotel	COMEDY	88
Citizenfour	BIOGRAPHY	88
Dast-neveshtehaa nemisoosand	DRAMA	88
Blue Is the Warmest Colour	DRAMA	88
The Arbor	DRAMA	88
A Film Unfinished	DRAMA	88
Inside Job	CRIME	88
The King's Speech	DRAMA	88
Up	COMEDY	88
45365	DOCUMENTARY	88
Tulpan	COMEDY	88
Once	DRAMA	88
Ghost World	COMEDY	88
Chicken Run	COMEDY	88
Toy Story 2	COMEDY	88
4 Little Girls	HISTORY	88
The Lion King	DRAMA	88
Three Colors: White	COMEDY	88
Quiz Show	DRAMA	88
Thelma & Louise	DRAMA	88
Life Is Sweet	COMEDY	88
The Little Mermaid	ANIMATION	88
Brazil	DRAMA	88
Amadeus	DRAMA	88
Tootsie	COMEDY	88
Pain and Glory	DRAMA	87
Can You Ever Forgive Me?	COMEDY	87
If Beale Street Could Talk	DRAMA	87
Hereditary	DRAMA	87
Happy as Lazzaro	DRAMA	87
Spider-Man: Into the Spider-Verse	ANIMATION	87
Genesis	DRAMA	87
Bisbee '17	WESTERN	87
The Farthest	HISTORY	87
Jane	BIOGRAPHY	87
The Shape of Water	DRAMA	87
En el séptimo día	DRAMA	87
Sweet Country	DRAMA	87
My Journey Through French Cinema	DOCUMENTARY	87
Love & Friendship	COMEDY	87
Newtown	HISTORY	87
Fire at Sea	DOCUMENTARY	87
Restless Creature: Wendy Whelan	DOCUMENTARY	87
The Diary of a Teenage Girl	COMEDY	87
My Golden Days	DRAMA	87
Happy Hour	DRAMA	87
Listen to Me Marlon	BIOGRAPHY	87
Birdman or (The Unexpected Virtue of Ignorance)	COMEDY	87
The Duke of Burgundy	DRAMA	87
Of Men and War	WAR	87
Life Itself	BIOGRAPHY	87
Force Majeure	COMEDY	87
All Is Lost	DRAMA	87
Nebraska	COMEDY	87
We Are the Best!	DRAMA	87
The Missing Picture	DOCUMENTARY	87
Particle Fever	DOCUMENTARY	87
Gregory Crewdson: Brief Encounters	DRAMA	87
Moneyball	DRAMA	87
Elena	DRAMA	87
The Kid with a Bike	DRAMA	87
Poetry	DRAMA	87
Uncle Boonmee Who Can Recall His Past Lives	DRAMA	87
The Autobiography of Nicolae Ceausescu	BIOGRAPHY	87
I Travel Because I Have to I Come Back Because I Love You	DRAMA	87
About Elly	DRAMA	87
Gomorrah	DRAMA	87
The Lord of the Rings: The Two Towers	DRAMA	87
All About My Mother	DRAMA	87
Shakespeare in Love	COMEDY	87
Level Five	ROMANCE	87
The English Patient	DRAMA	87
Shine	DRAMA	87
Little Women	DRAMA	87
The Fugitive	DRAMA	87
One False Move	DRAMA	87
Back to the Future	COMEDY	87
Divine Love	DRAMA	86
American Factory	DOCUMENTARY	86
Honeyland	DRAMA	86
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese	BIOGRAPHY	86
Diane	DRAMA	86
Mission: Impossible - Fallout	ADVENTURE	86
An Elephant Sitting Still	DRAMA	86
Black Mother	DOCUMENTARY	86
The Wild Pear Tree	DRAMA	86
The Wolf House	DRAMA	86
Museo	DRAMA	86
The Big Sick	COMEDY	86
Chasing Coral	DOCUMENTARY	86
Strong Island	DOCUMENTARY	86
City of Ghosts	WAR	86
One Cut of the Dead	COMEDY	86
Milla	DRAMA	86
Baby Driver	DRAMA	86
My Happy Family	DRAMA	86
Loveless	DRAMA	86
A Fantastic Woman	DRAMA	86
Dawson City: Frozen Time	HISTORY	86
Cameraperson	DOCUMENTARY	86
The Red Turtle	ANIMATION	86
Little Men	DRAMA	86
Krisha	DRAMA	86
Tangerine	COMEDY	86
Room	DRAMA	86
Dreamcatcher	DRAMA	86
Maidan	DOCUMENTARY	86
Last Days in Vietnam	WAR	86
What Now? Remind Me	BIOGRAPHY	86
Manakamana	DOCUMENTARY	86
The Great Beauty	DRAMA	86
Let the Fire Burn	DOCUMENTARY	86
Stand Clear of the Closing Doors	DRAMA	86
Barbara	DRAMA	86
Lincoln	DRAMA	86
Drug War	DRAMA	86
Beasts of the Southern Wild	DRAMA	86
How to Survive a Plague	HISTORY	86
Argo	DRAMA	86
The Master	DRAMA	86
The Interrupters	CRIME	86
Of Gods and Men	DRAMA	86
The Kids Are All Right	COMEDY	86
The Tillman Story	MYSTERY	86
Cave of Forgotten Dreams	HISTORY	86
Last Train Home	DRAMA	86
The Beaches of Agnès	BIOGRAPHY	86
Ponyo	COMEDY	86
Flight of the Red Balloon	DRAMA	86
Traffic	DRAMA	86
The Straight Story	DRAMA	86
Boys Don't Cry	DRAMA	86
Rushmore	COMEDY	86
42 Up	BIOGRAPHY	86
To Die For	COMEDY	86
Nobody's Fool	COMEDY	86
King of the Hill	DRAMA	86
Like Water for Chocolate	DRAMA	86
The Player	COMEDY	86
Aladdin	COMEDY	86
The Double Life of Véronique	DRAMA	86
The Juniper Tree	DRAMA	86
The Grifters	DRAMA	86
Sex Lies and Videotape	DRAMA	86
Dead Ringers	DRAMA	86
My Neighbor Totoro	ANIMATION	86
Hope and Glory	COMEDY	86
Stranger Than Paradise	COMEDY	86
Nausicaä of the Valley of the Wind	ANIMATION	86
Das Boot	DRAMA	86
One Child Nation	HISTORY	85
Atlantics	DRAMA	85
The Ground Beneath My Feet	DRAMA	85
Hale County This Morning This Evening	DOCUMENTARY	85
Won't You Be My Neighbor?	BIOGRAPHY	85
Tea With the Dames	DOCUMENTARY	85
Support the Girls	COMEDY	85
Birds of Passage	DRAMA	85
Ash Is Purest White	DRAMA	85
I Am Another You	DOCUMENTARY	85
First Reformed	DRAMA	85
Mudbound	DRAMA	85
The Departure	DOCUMENTARY	85
God's Own Country	DRAMA	85
Served Like a Girl	DOCUMENTARY	85
Get Out	MYSTERY	85
The Ornithologist	DRAMA	85
The Salesman	DRAMA	85
Starless Dreams	DOCUMENTARY	85
My Life as a Zucchini	COMEDY	85
Mali Blues	MUSIC	85
Kaili Blues	DRAMA	85
The Treasure	COMEDY	85
Behemoth	DOCUMENTARY	85
Amy	MUSIC	85
April and the Extraordinary World	COMEDY	85
Butterfly Girl	DOCUMENTARY	85
Song of the Sea	DRAMA	85
Night Will Fall	WAR	85
Girlhood	DRAMA	85
Princess	DRAMA	85
Watchers of the Sky	BIOGRAPHY	85
Tales of the Grim Sleeper	CRIME	85
The Return to Homs	BIOGRAPHY	85
The Past	DRAMA	85
Bridegroom	DOCUMENTARY	85
Ilo Ilo	DRAMA	85
Fruitvale Station	DRAMA	85
The Tree of Life	DRAMA	85
Tinker Tailor Soldier Spy	DRAMA	85
Harry Potter and the Deathly Hallows: Part 2	DRAMA	85
Take Shelter	DRAMA	85
Paradise Lost 3: Purgatory	CRIME	85
Meek's Cutoff	DRAMA	85
Exit Through the Gift Shop	COMEDY	85
Restrepo	BIOGRAPHY	85
An Education	DRAMA	85
Lebanon	DRAMA	85
Vincere	DRAMA	85
City of Life and Death	DRAMA	85
Summer Hours	DRAMA	85
The Savages	COMEDY	85
Alexandra	DRAMA	85
The Bourne Ultimatum	ACTION	85
The Edge of Heaven	DRAMA	85
Knocked Up	COMEDY	85
Atonement	DRAMA	85
Mulholland Dr.	DRAMA	85
In the Mood for Love	DRAMA	85
The Iron Giant	ANIMATION	85
Out of Sight	COMEDY	85
Boogie Nights	DRAMA	85
Fargo	DRAMA	85
The Last Seduction	DRAMA	85
Three Colors: Blue	DRAMA	85
The Long Day Closes	DRAMA	85
Unforgiven	DRAMA	85
The Silence of the Lambs	DRAMA	85
The Fabulous Baker Boys	COMEDY	85
Say Anything...	COMEDY	85
Let's Get Lost	MUSIC	85
Women on the Verge of a Nervous Breakdown	COMEDY	85
Distant Voices Still Lives	DRAMA	85
Mona Lisa	DRAMA	85
Chan Is Missing	DRAMA	85
Blow Out	MYSTERY	85
Raiders of the Lost Ark	ADVENTURE	85
Synonyms	COMEDY	84
Beanpole	DRAMA	84
Toy Story 4	COMEDY	84
About Endlessness	DRAMA	84
Bait	DRAMA	84
Booksmart	COMEDY	84
In My Room	DRAMA	84
Widows	DRAMA	84
First Man	DRAMA	84
McQueen	BIOGRAPHY	84
On Her Shoulders	BIOGRAPHY	84
A Ghost Story	DRAMA	84
The Work	DOCUMENTARY	84
Love After Love	DRAMA	84
You Were Never Really Here	DRAMA	84
Hell on Earth: The Fall of Syria and the Rise of ISIS	DOCUMENTARY	84
The Other Side of Hope	COMEDY	84
BPM (Beats Per Minute)	DRAMA	84
Star Wars: Episode VIII - The Last Jedi	ADVENTURE	84
Graduation	DRAMA	84
Harmonium	DRAMA	84
Under the Shadow	DRAMA	84
The Handmaiden	DRAMA	84
After the Storm	COMEDY	84
Homo Sapiens	DOCUMENTARY	84
Kubo and the Two Strings	ANIMATION	84
Weiner	DOCUMENTARY	84
Aferim!	COMEDY	84
Frame by Frame	WAR	84
Heart of a Dog	DOCUMENTARY	84
Horse Money	DRAMA	84
Snowpiercer	DRAMA	84
Stray Dogs	DRAMA	84
The Square	NEWS	84
War Witch	DRAMA	84
The Waiting Room	DOCUMENTARY	84
Moonrise Kingdom	COMEDY	84
Museum Hours	DRAMA	84
Holy Motors	DRAMA	84
Looper	DRAMA	84
Oslo August 31st	DRAMA	84
The Descendants	COMEDY	84
13 Assassins	DRAMA	84
Position Among the Stars	HISTORY	84
The Cove	CRIME	84
Ballast	DRAMA	84
Slumdog Millionaire	DRAMA	84
Happy-Go-Lucky	COMEDY	84
Séraphine	DRAMA	84
Milk	DRAMA	84
Revanche	DRAMA	84
The Dark Knight	DRAMA	84
Momma's Man	COMEDY	84
A Christmas Tale	COMEDY	84
In the Shadow of the Moon	HISTORY	84
Before the Devil Knows You're Dead	DRAMA	84
Up the Yangtze	DOCUMENTARY	84
Secret Sunshine	DRAMA	84
My Winnipeg	COMEDY	84
Lagaan: Once Upon a Time in India	DRAMA	84
Shrek	COMEDY	84
The Insider	DRAMA	84
American Beauty	DRAMA	84
American Movie	COMEDY	84
Sling Blade	DRAMA	84
Sense and Sensibility	DRAMA	84
The Joy Luck Club	DRAMA	84
Naked	COMEDY	84
In the Name of the Father	DRAMA	84
The Remains of the Day	DRAMA	84
Homicide	DRAMA	84
Medea	DRAMA	84
High Hopes	COMEDY	84
Withnail & I	COMEDY	84
Broadcast News	COMEDY	84
Aliens	ADVENTURE	84
Prizzi's Honor	COMEDY	84
The Terminator	ACTION	84
Blade Runner	ACTION	84
Victor Victoria	COMEDY	84
The Lighthouse	DRAMA	83
Once Upon a Time... in Hollywood	COMEDY	83
The Last Black Man in San Francisco	DRAMA	83
Roll Red Roll	CRIME	83
Private Life	COMEDY	83
BlacKkKlansman	DRAMA	83
Rosie	DRAMA	83
Who Will Write Our History	HISTORY	83
Free Solo	SPORT	83
Wobble Palace	COMEDY	83
The Guilty	DRAMA	83
The Post	DRAMA	83
The Other Side of Everything	BIOGRAPHY	83
Who We Are Now	DRAMA	83
Custody	DRAMA	83
The Woman Who Left	DRAMA	83
13th	CRIME	83
Rat Film	DOCUMENTARY	83
The Future Perfect	DRAMA	83
Being 17	DRAMA	83
Everybody Wants Some!!	COMEDY	83
Glory	DRAMA	83
The Happiest Day in the Life of Olli Maki	DRAMA	83
Don't Think Twice	COMEDY	83
20th Century Women	COMEDY	83
Cobain: Montage of Heck	ANIMATION	83
Mustang	DRAMA	83
De Palma	BIOGRAPHY	83
James White	DRAMA	83
Ixcanul	DRAMA	83
Design for Living	COMEDY	83
The Witch	DRAMA	83
The Forbidden Room	COMEDY	83
Seymour: An Introduction	MUSIC	83
Blind	DRAMA	83
20000 Days on Earth	DRAMA	83
The Fool	DRAMA	83
It Follows	MYSTERY	83
The Salt of the Earth	BIOGRAPHY	83
'71	DRAMA	83
Red Army	BIOGRAPHY	83
The Postman's White Nights	DRAMA	83
The Lego Movie	ANIMATION	83
Court	DRAMA	83
Cutie and the Boxer	BIOGRAPHY	83
Blackfish	NEWS	83
Gloria	COMEDY	83
20 Feet from Stardom	MUSIC	83
The Selfish Giant	DRAMA	83
The Wind Rises	DRAMA	83
56 Up	DOCUMENTARY	83
La Camioneta: The Journey of One American School Bus	DOCUMENTARY	83
Project Nim	DOCUMENTARY	83
The Day He Arrives	COMEDY	83
Pina	MUSIC	83
Hugo	DRAMA	83
Footnote	COMEDY	83
The Flat	DOCUMENTARY	83
I Wish I Knew	HISTORY	83
Animal Kingdom	DRAMA	83
Boxing Gym	DOCUMENTARY	83
In the Loop	COMEDY	83
Up in the Air	COMEDY	83
Avatar	ADVENTURE	83
Drag Me to Hell	THRILLER	83
A Serious Man	COMEDY	83
Crazy Heart	DRAMA	83
Fantastic Mr. Fox	COMEDY	83
Guy and Madeline on a Park Bench	DRAMA	83
Hadewijch	DRAMA	83
Trouble the Water	DOCUMENTARY	83
Tyson	SPORT	83
U2 3D	MUSIC	83
The Secret of the Grain	DRAMA	83
Paranoid Park	DRAMA	83
Sweeney Todd: The Demon Barber of Fleet Street	DRAMA	83
The King of Kong: A Fistful of Quarters	BIOGRAPHY	83
Chop Shop	DRAMA	83
Corpse Bride	DRAMA	83
Election	COMEDY	83
The Apostle	DRAMA	83
When We Were Kings	SPORT	83
Trainspotting	DRAMA	83
Babe	COMEDY	83
A Little Princess	DRAMA	83
Welcome to the Dollhouse	COMEDY	83
The Snapper	DRAMA	83
Porco Rosso	COMEDY	83
Kiki's Delivery Service	DRAMA	83
Henry V	DRAMA	83
Who Framed Roger Rabbit	COMEDY	83
Moonstruck	COMEDY	83
My Dinner with Andre	COMEDY	83
Give Me Liberty	COMEDY	82
Knives Out	COMEDY	82
Toni Morrison: The Pieces I Am	DOCUMENTARY	82
Bacurau	ADVENTURE	82
The Climb	COMEDY	82
Sorry We Missed You	DRAMA	82
The Waldheim Waltz	HISTORY	82
Isle of Dogs	COMEDY	82
Carmine Street Guitars	MUSIC	82
The Serengeti Rules	BIOGRAPHY	82
Transit	DRAMA	82
Penguin Highway	ANIMATION	82
Maiden	SPORT	82
Wrestle	SPORT	82
Mercury 13	DOCUMENTARY	82
Relaxer	COMEDY	82
We the Animals	DRAMA	82
John McEnroe: In the Realm of Perfection	SPORT	82
A Quiet Place	DRAMA	82
Pandas	DOCUMENTARY	82
Mountain	DOCUMENTARY	82
Marjorie Prime	DRAMA	82
Araby	DRAMA	82
Life and Nothing More	DRAMA	82
Cuba and the Cameraman	DOCUMENTARY	82
Ava	DRAMA	82
War for the Planet of the Apes	DRAMA	82
Our Time Will Come	DRAMA	82
Sieranevada	COMEDY	82
The Girl Without Hands	DRAMA	82
Certain Women	DRAMA	82
Nuts!	ANIMATION	82
Window Horses	DRAMA	82
A Stray	DRAMA	82
Heal the Living	DRAMA	82
Neruda	DRAMA	82
The Love Witch	COMEDY	82
Embrace of the Serpent	DRAMA	82
Creed	DRAMA	82
The Lobster	COMEDY	82
The End of the Tour	DRAMA	82
Sicario	DRAMA	82
Steve Jobs	DRAMA	82
The Second Mother	COMEDY	82
Approaching the Elephant	DOCUMENTARY	82
Love Is Strange	DRAMA	82
The Life and Mind of Mark DeFriest	ANIMATION	82
The Spectacular Now	COMEDY	82
Stranger by the Lake	DRAMA	82
These Birds Walk	DRAMA	82
Short Term 12	DRAMA	82
Levitated Mass	BIOGRAPHY	82
Captain Phillips	DRAMA	82
Under African Skies	BIOGRAPHY	82
Viola	DRAMA	82
Frances Ha	COMEDY	82
Blancanieves	DRAMA	82
Burn	DOCUMENTARY	82
Marley	MUSIC	82
A Hijacking	DRAMA	82
In the Family	DRAMA	82
Le Havre	COMEDY	82
Once Upon a Time in Anatolia	DRAMA	82
The Deep Blue Sea	DRAMA	82
Monsieur Lazhar	COMEDY	82
Archipelago	DRAMA	82
Mysteries of Lisbon	DRAMA	82
Certified Copy	DRAMA	82
The Illusionist	DRAMA	82
Marwencol	BIOGRAPHY	82
127 Hours	DRAMA	82
Flamenco Flamenco	MUSIC	82
Mademoiselle Chambon	DRAMA	82
The Maid	COMEDY	82
Star Trek	ADVENTURE	82
The White Ribbon	DRAMA	82
Ajami	DRAMA	82
Rachel Getting Married	DRAMA	82
Dear Zachary: A Letter to a Son About His Father	CRIME	82
Sugar	DRAMA	82
Frozen River	DRAMA	82
Hunger	DRAMA	82
Our Beloved Month of August	MUSIC	82
Anvil: The Story of Anvil	DRAMA	82
Let the Right One In	DRAMA	82
Burma VJ: Reporting from a Closed Country	HISTORY	82
Taxi to the Dark Side	CRIME	82
A Walk to Beautiful	DOCUMENTARY	82
Michael Clayton	DRAMA	82
Eastern Promises	DRAMA	82
Stranded: I've Come from a Plane That Crashed on the Mountains	DOCUMENTARY	82
Three Kings	COMEDY	82
A Simple Plan	DRAMA	82
The Celebration	DRAMA	82
Hands on a Hardbody: The Documentary	COMEDY	82
Face/Off	ACTION	82
Sick: The Life & Death of Bob Flanagan Supermasochist	DOCUMENTARY	82
The Promise	DRAMA	82
Cold Comfort Farm	COMEDY	82
Get Shorty	COMEDY	82
Leaving Las Vegas	DRAMA	82
Forrest Gump	DRAMA	82
The Nightmare Before Christmas	ANIMATION	82
Dream of Light	BIOGRAPHY	82
Rebels of the Neon God	DRAMA	82
Glengarry Glen Ross	DRAMA	82
Paris Is Burning	DOCUMENTARY	82
The Killer	DRAMA	82
Parenthood	COMEDY	82
Drugstore Cowboy	DRAMA	82
Down and Out in Beverly Hills	COMEDY	82
My Life as a Dog	COMEDY	82
Broadway Danny Rose	COMEDY	82
Local Hero	COMEDY	82
Diner	COMEDY	82
Ford v Ferrari	DRAMA	81
Invisible Life	DRAMA	81
Us	MYSTERY	81
The Edge of Democracy	HISTORY	81
The Chambermaid	DRAMA	81
Woman at War	COMEDY	81
In Fabric	COMEDY	81
The Hate U Give	DRAMA	81
Three Identical Strangers	DRAMA	81
Ray & Liz	DRAMA	81
Mirai	DRAMA	81
I Do Not Care If We Go Down in History as Barbarians	COMEDY	81
Mandy	ACTION	81
Shadow	DRAMA	81
Loveling	COMEDY	81
United Skates	DOCUMENTARY	81
Revenge	ACTION	81
Step	DOCUMENTARY	81
Blade Runner 2049	DRAMA	81
Coco	ANIMATION	81
Summer 1993	DRAMA	81
The Dawn Wall	SPORT	81
Dolores	BIOGRAPHY	81
Angkor Awakens: A Portrait of Cambodia	DOCUMENTARY	81
A River Below	DOCUMENTARY	81
Western	DRAMA	81
The Guardians	DRAMA	81
Menashe	DRAMA	81
12 Days	DOCUMENTARY	81
The Wailing	MYSTERY	81
Chicken People	COMEDY	81
Best Worst Thing That Ever Could Have Happened...	DOCUMENTARY	81
Disturbing the Peace	DOCUMENTARY	81
Moana	COMEDY	81
Justin Timberlake + the Tennessee Kids	MUSIC	81
The Levelling	DRAMA	81
Raw	DRAMA	81
White Sun	DRAMA	81
Arrival	DRAMA	81
Hunt for the Wilderpeople	COMEDY	81
Jackie	DRAMA	81
The Big Short	COMEDY	81
No Home Movie	DOCUMENTARY	81
Experimenter	DRAMA	81
Racing Extinction	NEWS	81
In Jackson Heights	DOCUMENTARY	81
Closet Monster	DRAMA	81
A War	DRAMA	81
Under the Sun	DOCUMENTARY	81
Right Now Wrong Then	DRAMA	81
Arabian Nights: Volume 2 - The Desolate One	DRAMA	81
TransFatty Lives	BIOGRAPHY	81
Twinsters	FAMILY	81
Truman	COMEDY	81
Shaun the Sheep Movie	COMEDY	81
Blood of My Blood	DRAMA	81
Bridge of Spies	DRAMA	81
Two Step	DRAMA	81
Coming Home	DRAMA	81
Selma	DRAMA	81
A Pigeon Sat on a Branch Reflecting on Existence	COMEDY	81
Goodnight Mommy	MYSTERY	81
Top Spin	DOCUMENTARY	81
Inherent Vice	COMEDY	81
Top Five	COMEDY	81
Eden	DRAMA	81
A Girl Walks Home Alone at Night	DRAMA	81
Foxcatcher	DRAMA	81
Locke	DRAMA	81
The World's End	COMEDY	81
Starred Up	DRAMA	81
At Berkeley	DOCUMENTARY	81
The Empty Hours	DRAMA	81
Closed Curtain	DRAMA	81
Norte the End of History	DRAMA	81
Elaine Stritch: Shoot Me	DOCUMENTARY	81
Upstream Color	DRAMA	81
Wadjda	COMEDY	81
Tchoupitoulas	DOCUMENTARY	81
Gimme the Loot	COMEDY	81
Sister	DRAMA	81
Silver Linings Playbook	COMEDY	81
No	DRAMA	81
Ai Weiwei: Never Sorry	DOCUMENTARY	81
Elena	DRAMA	81
Django Unchained	DRAMA	81
Skyfall	ADVENTURE	81
Leviathan	DOCUMENTARY	81
Play	DRAMA	81
Weekend	DRAMA	81
The Trouble with the Truth	DRAMA	81
Wrinkles	DRAMA	81
Hell and Back Again	ACTION	81
Midnight in Paris	COMEDY	81
Red White & Blue	DRAMA	81
Tuesday After Christmas	DRAMA	81
Blue Valentine	DRAMA	81
Waiting for 'Superman'	DOCUMENTARY	81
Thunder Soul	MUSIC	81
Beginners	COMEDY	81
My Joy	DRAMA	81
Fish Tank	DRAMA	81
Police Adjective	DRAMA	81
The Secret of Kells	ANIMATION	81
District 9	ACTION	81
Bright Star	DRAMA	81
The Damned United	DRAMA	81
White Material	DRAMA	81
Il Divo	DRAMA	81
Of Time and the City	BIOGRAPHY	81
The Headless Woman	DRAMA	81
Hairspray	COMEDY	81
Pete Seeger: The Power of Song	MUSIC	81
Katyn	DRAMA	81
Chris & Don. A Love Story	ROMANCE	81
Hot Fuzz	COMEDY	81
Juno	COMEDY	81
You the Living	COMEDY	81
Happiness	COMEDY	81
Autumn Tale	COMEDY	81
The General	DRAMA	81
In the Company of Men	COMEDY	81
A Self-Made Hero	COMEDY	81
Flirting with Disaster	COMEDY	81
Living in Oblivion	COMEDY	81
Georgia	DRAMA	81
Four Weddings and a Funeral	COMEDY	81
Fresh	DRAMA	81
Il Postino	COMEDY	81
Daughters of the Dust	DRAMA	81
